objname,mod0,vgsr
UGC12914,33.49,4522
PGC000143,24.94,-54
NGC7814,30.80,1204
UGC00014,35.03,7428
UGC00017,31.34,1024
NGC7817,32.23,2470
ESO409-015,29.70,744
PGC000465,36.19,11673
ESO293-034,31.60,1477
UGC00052,34.22,5386
UGC00054,34.32,4441
ESO349-031,27.53,214
NGC0007,31.57,1503
NGC0023,33.55,4728
NGC0024,29.32,574
NGC0029,34.45,4948
ESO293-045,32.17,1428
UGC00132,31.56,1815
NGC0048,33.84,1972
NGC0045,29.11,490
NGC0055,26.62,98
NGC0059,28.45,395
ESO410-005,26.44,29
NGC0063,31.34,1293
PGC001288,33.50,3789
IC0010,24.50,-147
UGC00196,33.74,5336
ESO150-005,30.68,1354
NGC0100,31.31,978
NGC0105,34.29,5318
ESO294-010,26.45,69
NGC0115,32.29,1812
UGC00256,33.40,5372
UGC00260,32.23,2263
UGC00288,29.17,374
PGC073507,36.05,13297
NGC0134,31.25,1566
UGC00312,33.73,4480
ESO079-003,32.60,2508
UGC00320,33.08,2472
IC1553,32.54,2934
NGC0147,24.25,-4
NGC0150,31.62,1577
IC1555,31.25,1539
NGC0157,32.24,1718
PGC002121,24.33,-171
IC1558,29.93,1560
NGC0185,24.11,-17
NGC0191,34.94,6136
NGC0205,24.52,-62
UGC00392,32.15,1587
NGC0210,31.38,1680
ESO079-005,31.44,1598
NGC0216,30.30,1555
NGC0214,33.80,4687
PGC002492,32.06,1585
ESO540-016,32.13,1582
PGC002544,29.27,416
NGC0221,24.50,-22
NGC0224,24.27,-112
NGC0232,34.60,6694
IC1574,28.46,374
PGC002590,24.18,NA
PGC002666,24.32,-204
UGC00477,32.93,2785
PGC002726,36.12,11317
UGC00485,33.96,5406
NGC0247,27.85,173
NGC0253,27.84,244
PGC002805,31.29,1396
NGC0252,34.44,5092
UGC00501,34.25,5241
ESO540-030,27.62,248
UGC00509,34.30,5294
ESO540-031,27.62,308
UGC00511,34.46,4758
ESO540-032,27.79,245
PGC002964,33.20,5127
NGC0274,31.43,1787
UGC00521,32.59,792
UGC00525,32.88,5085
NGC0278,32.34,820
PGC003062,32.41,1478
UGC00536,34.48,5014
NGC0292,18.97,21
NGC0289,31.59,1608
UGC00542,33.67,4663
PGC003183,33.09,4950
PGC003184,34.70,6946
UGC00549,34.29,6222
UGC00557,34.55,4654
UGC00556,34.36,4790
NGC0300,26.53,122
NGC0298,32.18,1810
UGC00562,33.69,5622
UGC00565,33.47,5800
PGC003285,34.77,6824
IC1601,35.37,3746
UGC00575,34.10,4813
PGC003466,33.94,4880
UGC00607,36.59,11769
ESO541-004,32.22,2017
UGC00608,32.83,2934
ESO541-005,33.11,1968
NGC0337,31.30,1701
ESO351-030,19.63,76
UGC00622,32.83,2893
IC0066,34.56,4989
NGC0338,34.46,4931
IC0065,32.34,2794
UGC00628,34.66,5574
UGC00633,34.80,5729
UGC00634,32.15,2309
IC1610,34.34,5653
NGC0360,32.42,2179
UGC00646,34.14,5439
PGC003792,24.42,-152
IC1613,24.39,-153
PGC003853,30.30,1148
PGC003855,32.56,2473
UGC00669,33.20,6010
UGC00673,34.98,6401
UGC00679,33.70,5225
UGC00685,28.41,273
NGC0406,31.61,1369
NGC0382,34.33,5375
UGC00711,31.94,2054
UGC00714,33.60,4787
NGC0404,27.37,105
PGC004143,32.43,1927
UGC00732,33.76,5592
PGC004222,34.59,5725
UGC00748,34.46,5009
UGC00764,34.70,4893
NGC0448,32.39,1988
NGC0444,33.46,4982
UGC00809,34.13,4358
NGC0452,34.12,5109
[RC2]A0113+33,24.02,-43
UGC00825,34.53,5512
UGC00841,33.99,5720
NGC0470,33.44,2448
NGC0474,32.20,2445
NGC0477,34.82,6024
NGC0485,32.45,2333
NGC0488,32.89,2346
UGC00903,32.83,2626
NGC0489,33.28,2594
UGC00909,34.62,5235
ESO352-057,34.75,5639
NGC0494,34.09,5591
NGC0495,34.38,4250
NGC0496,33.63,6151
NGC0512,34.84,5010
NGC0514,32.09,2568
IC0101,32.72,2487
UGC00958,32.70,2524
UGC00964,33.05,2820
NGC0522,32.95,2817
NGC0524,32.56,2510
NGC0532,32.70,2459
NGC0523,34.32,4906
UGC00987,33.77,4799
PGC005329,32.01,2042
PGC005341,33.29,2001
NGC0536,33.92,5335
ESO476-010,31.68,1584
UGC01020,32.99,2696
UGC01033,33.85,4179
NGC0551,34.04,5340
UGC01054,34.27,2807
UGC01066,34.34,5210
IC0126,34.32,5948
UGC01070,31.75,2963
NGC0578,31.23,1614
IC1711,33.23,2910
NGC0584,31.50,1885
UGC01087,34.21,4582
NGC0582,34.04,4491
UGC01104,29.39,791
NGC0596,31.67,1936
UGC01110,32.74,2861
UGC01112,31.96,1772
NGC0598,24.71,-48
NGC0613,32.11,1446
NGC0615,32.22,1900
NGC0628,30.03,756
NGC0632,33.20,3234
UGC01160,34.28,5582
UGC01162,36.18,11258
NGC0634,34.40,5070
NGC0636,32.35,1883
UGC01171,29.34,834
UGC01176,29.78,727
UGC01178,33.79,5643
PGC006190,32.48,2156
PGC006228,31.45,1534
NGC2573,32.02,2257
NGC0658,33.26,3074
UGC01197,32.76,2894
UGC01200,30.69,899
PGC006354,29.48,882
ESO245-005,28.30,309
UGC01234,34.87,5792
UGC01240,31.86,1863
NGC0668,33.75,4638
UGC01257,34.62,4799
NGC0673,34.21,5261
NGC0676,31.12,1568
NGC0681,33.24,1761
IC0163,31.99,2851
PGC006703,32.16,1446
NGC0680,32.46,2916
NGC0691,32.84,2769
NGC0688,33.88,4283
IC1735,35.75,11496
NGC0701,31.52,1862
ESO245-007,23.20,-142
IC0167,31.46,3038
UGC01316,34.55,4841
PGC006864,33.23,2155
UGC01319,33.78,5448
PGC006898,32.79,1665
NGC0708,33.46,4974
PGC006966,34.16,5040
NGC0710,32.76,6242
NGC0720,32.19,1717
UGC01366,34.40,5247
NGC0721,33.74,5737
UGC01378,33.36,3111
NGC0748,34.34,5338
NGC0755,31.49,1634
UGC01416,35.40,5605
PGC007324,32.34,1859
NGC0759,34.16,4779
UGC01459,34.17,5600
NGC0772,31.86,2532
NGC0769,33.52,4538
NGC0779,31.44,1408
UGC01470,34.32,5288
UGC01493,33.44,4274
NGC0783,33.94,5315
UGC01500,32.40,2524
NGC0799,34.50,5869
NGC0801,33.77,5896
NGC0803,31.66,2180
NGC0809,34.72,5348
UGC01567,36.10,9163
PGC007957,34.58,4542
UGC01581,33.89,4542
NGC0812,33.74,5308
